Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
stationary,"움직이지 않는, 정지된",Not moving or not intended to be moved; fixed in one place.,The car remained stationary at the traffic light.,그 차는 신호등에서 움직이지 않고 정지해 있었다.,"immobile, motionless, fixed","mobile, moving, active",5,3
solidarity,"연대, 단결","Unity or agreement of feeling or action, especially among individuals with a common interest.",The workers showed great solidarity during the strike.,노동자들은 파업 동안 큰 연대를 보여주었다.,"unity, cohesion, harmony","division, disunity, discord",7.5,6.0
statistics,통계학 또는 통계 자료를 연구하고 분석하는 학문,"The study and analysis of numerical data, often used to infer trends or outcomes.",Statistics play a crucial role in modern-day decision-making processes.,통계는 현대의 의사 결정 과정에서 중요한 역할을 합니다.,"data analysis, numerical analysis, probability",,High relevance in academic and professional contexts.,Moderately relevant in quantitative reasoning sections.
succinct,"간결한, 간단명료한",expressed in a clear and concise manner,Her speech was succinct and to the point.,그녀의 연설은 간결하고 핵심을 찔렀다.,"concise, terse, brief","verbose, wordy, prolix",8,7
solitary,"혼자 있는, 고독한",existing or living alone; being without companions,He spent a solitary evening reading books.,그는 책을 읽으며 고독한 저녁을 보냈다.,"alone, lonely, isolated","social, gregarious, connected",Moderate relevance for vocabulary improvement,Low relevance for business-specific context
status,"상태, 지위, 신분",The condition or position of a person or thing in a particular context.,The status of the project remains uncertain.,그 프로젝트의 상태는 여전히 불확실하다.,"condition, position, rank","chaos, disorder, confusion",5,4
succulent,"즙이 많은, 다육질의 또는 맛있고 풍부한",Full of juice; juicy or rich in desirable qualities,The succulent steak was perfectly cooked and full of flavor.,그 즙이 많은 스테이크는 완벽하게 조리되었고 풍미가 가득했다.,"juicy, lush, moist","dry, parched",Moderate relevance in describing textures or food,"Low relevance, primarily used in descriptive contexts"
solstice,"태양이 적도에서 가장 멀어지는 시점으로, 하지와 동지를 포함하는 천문학적 현상","The time or date (twice each year) at which the sun reaches its maximum or minimum declination, marking the longest and shortest days of the year.",The summer solstice occurs when the sun is at its highest point in the sky.,하지는 태양이 하늘에서 가장 높은 지점에 있을 때 발생한다.,"equinox, aphelion, perigee",,Moderate relevance in scientific and natural topics,Low relevance unless in context of specific passages
steady,"꾸준한, 안정된","firm, constant, or unchanging in progress or behavior",She maintained a steady pace throughout the marathon.,그녀는 마라톤 내내 꾸준한 속도를 유지했다.,"constant, stable, consistent","unstable, inconsistent, variable",Medium,Low
succumb,"항복하다, 굴복하다, 저항을 포기하다","to yield or give in to a force, temptation, or pressure","After weeks of fighting the illness, he finally succumbed to it.",몇 주간 병과 싸운 끝에 그는 결국 병에 굴복했다.,"yield, surrender, submit","resist, overcome, withstand",6.0,2.5
soluble,"물질이 액체에 녹을 수 있는 성질을 가진, 또는 문제가 해결 가능한",Capable of being dissolved in a liquid or capable of being solved (as in a problem),Sugar is soluble in water.,설탕은 물에 녹는다.,"dissolvable, solvable, meltable","insoluble, unsolvable",Moderate relevance for vocabulary section,Moderate relevance for analytical writing and reasoning
stealthy,"남몰래 하는, 은밀한","behaving or done in a cautious and surreptitious manner, so as not to be seen or heard",The thief moved in a stealthy manner to avoid detection.,도둑은 발각되지 않기 위해 은밀하게 움직였다.,"furtive, sly, clandestine","obvious, overt, public",Moderate relevance for vocabulary improvement in writing and speaking sections,"Low relevance, primarily helpful in verbal reasoning and critical reading"
suck,"빨다, 흡입하다, 끌어당기다 또는 형편없다",To draw something into one's mouth by creating suction; to be very bad or unpleasant.,This movie really sucks.,이 영화는 정말 형편없다.,"draw, inhale, absorb, terrible","blow, exhale, push","Low relevance, mainly informal usage","Not relevant, informal and colloquial usage"
solution,문제에 대한 해결책 또는 해답,A means of solving a problem or dealing with a difficult situation,Finding a solution to the problem required creative thinking.,문제에 대한 해결책을 찾는 데는 창의적인 사고가 필요했다.,"answer, resolution, remedy","problem, difficulty, challenge",High relevance in Writing and Speaking sections for discussing problems and solutions,Moderate relevance in Analytical Writing Assessment section for problem-solving essays
steep,"가파른, 경사가 급한",having a sharp inclination; rising or falling sharply,The hill was too steep to climb without proper equipment.,그 언덕은 적절한 장비 없이는 오르기에는 너무 가파르다.,"abrupt, sharp, precipitous","gradual, flat, even",frequently used in academic contexts,occasionally used in reading comprehension
sue,법적 소송을 제기하다,To bring legal action against someone or something,She decided to sue the company for negligence.,그녀는 회사의 태만에 대해 소송을 제기하기로 결정했다.,"litigate, file a lawsuit, prosecute",,Moderate relevance in legal and formal contexts,"Low relevance, primarily used in legal contexts"
solvent,용매: 물질을 용해시킬 수 있는 액체나 기체,"A substance, typically liquid, capable of dissolving other substances.",Water is a universal solvent for many substances.,물은 많은 물질에 대한 보편적인 용매입니다.,"dissolver, medium, liquid",,Medium relevance in scientific contexts,Low relevance
steer,"조종하다, 방향을 잡다",to guide or control the direction of something,He tried to steer the boat to the shore.,그는 배를 해안으로 조종하려고 했다.,"guide, navigate, control","misguide, drift, wander",Medium relevance,Low relevance
suffice,"충분하다, 만족시키다",To be enough or adequate for a purpose,A quick reply will suffice for now.,간단한 답변이면 지금으로서는 충분하다.,"adequate, satisfactory, meet","insufficient, lack, fall short",5,3
sonic,"소리의, 음파의, 음속의",related to sound or the speed of sound,The jet broke the sonic barrier during its test flight.,그 제트기는 시험 비행 중 음속 장벽을 돌파했다.,"acoustic, auditory, sound-related",,Medium relevance for vocabulary in scientific contexts.,Low relevance unless used in specific technical contexts.
stench,"고약한 냄새, 악취",A strong and unpleasant smell; foul odor,The stench of rotting garbage filled the air.,썩어가는 쓰레기의 악취가 공기를 가득 채웠다.,"smell, odor, reek","fragrance, aroma, perfume",Medium relevance,Low relevance
sufficient,"충분한, 필요한 만큼의",Enough to meet the needs or requirements.,The food provided was sufficient for everyone at the party.,제공된 음식은 파티에 참석한 모든 사람들에게 충분했다.,"adequate, ample, enough","insufficient, inadequate, scarce",High relevance due to frequent use in academic writing and speaking.,"Moderate relevance, often used in problem-solving and analytical reasoning contexts."
